Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCA_017591595.1	Aetokthonos hydrillicola Thurmond2011		Thurmond2011				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8262029	Scaffold	2021-03-26	JAALHA01
GCF_016056305.1	Amazonocrinis nigriterrae CENA67		CENA67				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8256472	Scaffold	2020-12-15	JAECZC01
GCA_016056305.1	Amazonocrinis nigriterrae CENA67		CENA67				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8256472	Scaffold	2020-12-15	JAECZC01
GCF_001597745.1	Anabaena sp. 4-3		4-3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5603767	Scaffold	2016-03-25	LUHJ01
GCA_001597745.1	Anabaena sp. 4-3		4-3					5603767	Scaffold	2016-03-25	LUHJ01
GCA_021300315.1	Anabaena sp. 49628_E55				49628_E55		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4873444	Scaffold	2021-12-27	JAJTDY01
GCA_021300225.1	Anabaena sp. 49633_E8				49633_E8		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8566965	Scaffold	2021-12-27	JAJTDN01
GCA_001672255.1	Anabaena sp. AL09				39864		NCBI Prokaryotic Genome Annotation Pipeline	4657189	Scaffold	2016-06-20	LJOQ01
GCF_001597855.1	Anabaena sp. CA = ATCC 33047		ATCC 33047				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5557908	Scaffold	2016-03-25	LUHI01
GCA_001597855.1	Anabaena sp. CA = ATCC 33047		ATCC 33047					5557908	Scaffold	2016-03-25	LUHI01
GCF_019800585.1	Anabaena sp. CCAP 1446/1C		CCAP 1446/1C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6756227	Scaffold	2021-08-30	JAAMUW01
GCF_019800605.1	Anabaena sp. CCAP 1446/1C		CCAP 1446/1C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6761576	Scaffold	2021-08-30	JAAMUX01
GCA_019800585.1	Anabaena sp. CCAP 1446/1C		CCAP 1446/1C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6756227	Scaffold	2021-08-30	JAAMUW01
GCA_019800605.1	Anabaena sp. CCAP 1446/1C		CCAP 1446/1C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6761576	Scaffold	2021-08-30	JAAMUX01
GCA_001672225.1	Anabaena sp. LE011-02				39865		NCBI Prokaryotic Genome Annotation Pipeline	4740750	Scaffold	2016-06-20	LJOP01
GCF_000332135.1	Anabaena sp. PCC 7108		PCC 7108				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5886741	Scaffold	2013-01-22	AJWF01
GCA_000332135.1	Anabaena sp. PCC 7108		PCC 7108					5886741	Scaffold	2013-01-22	AJWF01
GCA_003525565.1	Anabaena sp. UBA12330				UBA12330		NCBI Prokaryotic Genome Annotation Pipeline	4285598	Scaffold	2018-09-10	DQEB01
GCF_009712035.1	Anabaena sp. UHCC 0187		UHCC 0187				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5097467	Scaffold	2019-11-27	VILB01
GCA_009712035.1	Anabaena sp. UHCC 0187		UHCC 0187				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5097467	Scaffold	2019-11-27	VILB01
GCF_009711975.1	Anabaena sp. UHCC 0204		UHCC 0204				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5744555	Scaffold	2019-11-27	VIKW01
GCA_009711975.1	Anabaena sp. UHCC 0204		UHCC 0204				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5744555	Scaffold	2019-11-27	VIKW01
GCF_009712085.1	Anabaena sp. UHCC 0253		UHCC 0253				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6116306	Scaffold	2019-11-27	VILD01
GCA_009712085.1	Anabaena sp. UHCC 0253		UHCC 0253				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6116306	Scaffold	2019-11-27	VILD01
GCA_014654815.1	Aphanizomenon flos-aquae Clear-A1				Clear-A1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4442226	Scaffold	2020-09-18	JACVZZ01
GCF_000521175.1	Aphanizomenon flos-aquae NIES-81		NIES-81				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5851275	Scaffold	2014-01-16	AZYY01
GCA_000521175.1	Aphanizomenon flos-aquae NIES-81		NIES-81					5851275	Scaffold	2014-01-16	AZYY01
GCF_009712065.1	Aphanizomenon sp. UHCC 0183		UHCC 0183				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5579684	Scaffold	2019-11-27	VILC01
GCA_009712065.1	Aphanizomenon sp. UHCC 0183		UHCC 0183				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5579684	Scaffold	2019-11-27	VILC01
GCA_004768385.1	Aphanocapsa feldmannii 277cI				277cI		NCBI Prokaryotic Genome Annotation Pipeline	1919960	Scaffold	2019-04-09	SRMN01
GCA_004768415.1	Aphanocapsa feldmannii 277cV				277cV		NCBI Prokaryotic Genome Annotation Pipeline	2549273	Scaffold	2019-04-09	SRMO01
GCA_004768435.1	Aphanocapsa feldmannii 288cV				288cV		NCBI Prokaryotic Genome Annotation Pipeline	2226807	Scaffold	2019-04-09	SRMM01
GCF_023333585.1	Argonema antarcticum A004/B2		A004/B2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7745032	Scaffold	2022-05-11	JAIQZN01
GCA_023333585.1	Argonema antarcticum A004/B2		A004/B2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7745032	Scaffold	2022-05-11	JAIQZN01
GCF_023333595.1	Argonema galeatum A003/A1		A003/A1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6929784	Scaffold	2022-05-11	JAIQZM01
GCA_023333595.1	Argonema galeatum A003/A1		A003/A1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6929784	Scaffold	2022-05-11	JAIQZM01
GCF_016056295.1	Atlanticothrix silvestris CENA357		CENA357				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6527020	Scaffold	2020-12-15	JAECZB01
GCA_016056295.1	Atlanticothrix silvestris CENA357		CENA357				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6527020	Scaffold	2020-12-15	JAECZB01
GCF_000332355.1	Baaleninema simplex PCC 7105		PCC 7105				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6152351	Scaffold	2013-01-22	ANFQ01
GCA_000332355.1	Baaleninema simplex PCC 7105		PCC 7105					6152351	Scaffold	2013-01-22	ANFQ01
GCF_012912135.1	Brasilonema bromeliae SPC951		SPC951				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6257395	Scaffold	2020-04-27	QMEB01
GCA_012912135.1	Brasilonema bromeliae SPC951		SPC951				NCBI Prokaryotic Genome Annotation Pipeline	6257395	Scaffold	2020-04-27	QMEB01
GCF_012912125.1	Brasilonema octagenarum UFV-OR1		UFV-OR1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8051403	Scaffold	2020-04-27	QMEC01
GCA_012912125.1	Brasilonema octagenarum UFV-OR1		UFV-OR1				NCBI Prokaryotic Genome Annotation Pipeline	8051403	Scaffold	2020-04-27	QMEC01
GCF_017982655.1	Brasilonema sp. CT11		CT11				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8789847	Scaffold	2021-04-15	JABXYX01
GCA_017982655.1	Brasilonema sp. CT11		CT11				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8789847	Scaffold	2021-04-15	JABXYX01
GCF_012912105.1	Brasilonema sp. UFV-L1		UFV-L1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8310715	Scaffold	2020-04-27	QMEA01
GCA_012912105.1	Brasilonema sp. UFV-L1		UFV-L1				NCBI Prokaryotic Genome Annotation Pipeline	8310715	Scaffold	2020-04-27	QMEA01
GCA_010672185.1	Caldora sp. SIO3E6				SIO3E6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8993956	Scaffold	2020-02-16	JAAHHL01
GCF_007830875.1	Calothrix desertica PCC 7102		PCC 7102				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	11416284	Scaffold	2019-08-02	VLKB01
GCF_003991905.1	Calothrix desertica PCC 7102		PCC 7102				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	11421054	Scaffold	2019-01-04	RSCL01
GCA_003991905.1	Calothrix desertica PCC 7102		PCC 7102				Annotation submitted by Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	11421054	Scaffold	2019-01-04	RSCL01
GCA_007830875.1	Calothrix desertica PCC 7102		PCC 7102				Annotation submitted by DOE Joint Genome Institute	11416284	Scaffold	2019-08-02	VLKB01
GCF_002289455.1	Calothrix elsteri CCALA 953		CCALA 953				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7006470	Scaffold	2017-09-11	NTFS01
GCA_002289455.1	Calothrix elsteri CCALA 953		CCALA 953				NCBI Prokaryotic Genome Annotation Pipeline	7006470	Scaffold	2017-09-11	NTFS01
GCF_001904745.1	Calothrix sp. HK-06		HK-06				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9990453	Scaffold	2016-12-14	MRCD01
GCA_001904745.1	Calothrix sp. HK-06		HK-06				NCBI Prokaryotic Genome Annotation Pipeline	9990453	Scaffold	2016-12-14	MRCD01
GCF_000331305.1	Calothrix sp. PCC 7103		PCC 7103				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	11584393	Scaffold	2013-01-11	ALVJ01
GCA_000331305.1	Calothrix sp. PCC 7103		PCC 7103					11584393	Scaffold	2013-01-11	ALVJ01
GCA_022450625.1	Candidatus Atelocyanobacterium sp. ALOHA_A2.5_9				ALOHA_A2.5_9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1489669	Scaffold	2022-03-02	JAKUPS01
GCA_014323965.1	Candidatus Paraprochloron terpiosi SP5CPC1				SP5CPC1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2787143	Scaffold	2020-08-28	JACONB01
GCA_001007625.1	Candidatus Synechococcus spongiarum 142				142		NCBI Prokaryotic Genome Annotation Pipeline	2271413	Scaffold	2015-05-14	JXUO01
GCF_001007635.1	Candidatus Synechococcus spongiarum 15L				15L			2209101	Scaffold	2015-05-14	JYFQ01
GCA_001007635.1	Candidatus Synechococcus spongiarum 15L				15L		NCBI Prokaryotic Genome Annotation Pipeline	2209101	Scaffold	2015-05-14	JYFQ01
GCA_002017915.1	Candidatus Synechococcus spongiarum LMB bulk10D				LMB bulk10D		NCBI Prokaryotic Genome Annotation Pipeline	565311	Scaffold	2017-03-03	MWLG01
GCA_002017955.1	Candidatus Synechococcus spongiarum LMB bulk10E				LMB bulk10E		NCBI Prokaryotic Genome Annotation Pipeline	455454	Scaffold	2017-03-03	MWLF01
GCA_002018045.1	Candidatus Synechococcus spongiarum LMB bulk15M				LMB bulk15M		NCBI Prokaryotic Genome Annotation Pipeline	1500513	Scaffold	2017-03-03	MWLD01
GCF_002018015.1	Candidatus Synechococcus spongiarum LMB bulk15N				LMB bulk15N		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1472743	Scaffold	2017-03-03	MWLE01
GCA_002018015.1	Candidatus Synechococcus spongiarum LMB bulk15N				LMB bulk15N		NCBI Prokaryotic Genome Annotation Pipeline	1472743	Scaffold	2017-03-03	MWLE01
GCF_003003885.1	Chlorogloea sp. CCALA 695		CCALA 695				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5226129	Scaffold	2018-03-15	PVWN01
GCA_003003885.1	Chlorogloea sp. CCALA 695		CCALA 695				NCBI Prokaryotic Genome Annotation Pipeline	5226129	Scaffold	2018-03-15	PVWN01
GCF_003990575.1	Chlorogloeopsis fritschii PCC 6912		PCC 6912				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7768833	Scaffold	2019-01-02	RSCJ01
GCA_003990575.1	Chlorogloeopsis fritschii PCC 6912		PCC 6912				Annotation submitted by Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	7768833	Scaffold	2019-01-02	RSCJ01
GCF_003003835.1	Chroococcidiopsis cubana CCALA 043		CCALA 043				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7571187	Scaffold	2018-03-15	PVWM01
GCA_003003835.1	Chroococcidiopsis cubana CCALA 043		CCALA 043				NCBI Prokaryotic Genome Annotation Pipeline	7571187	Scaffold	2018-03-15	PVWM01
GCF_003991895.1	Chroococcidiopsis cubana SAG 39.79		SAG 39.79				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8099003	Scaffold	2019-01-04	RSCK01
GCA_003991895.1	Chroococcidiopsis cubana SAG 39.79		SAG 39.79				Annotation submitted by Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	8099003	Scaffold	2019-01-04	RSCK01
GCF_000155555.1	Coleofasciculus chthonoplastes PCC 7420		PCC 7420				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8679041	Scaffold	2008-08-15	ABRS01
GCA_000155555.1	Coleofasciculus chthonoplastes PCC 7420		PCC 7420				Annotation submitted by The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	8679041	Scaffold	2008-08-15	ABRS01
GCA_013215395.1	Crocosphaera sp.				DT_26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5143682	Scaffold	2020-06-02	JABSPE01
GCA_022448125.1	Crocosphaera sp.				ALOHA_ZT_9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5559087	Scaffold	2022-03-02	JAKVAT01
GCF_000167195.1	Crocosphaera watsonii WH 8501		WH 8501				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6238156	Scaffold	2005-06-16	AADV02
GCA_000167195.1	Crocosphaera watsonii WH 8501		WH 8501				Annotation submitted by DOE Joint Genome Institute	6238156	Scaffold	2005-06-16	AADV02
GCF_002934005.1	Cuspidothrix issatschenkoi CHARLIE-1		CHARLIE-1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4547138	Scaffold	2018-02-21	PGEM01
GCA_002934005.1	Cuspidothrix issatschenkoi CHARLIE-1		CHARLIE-1				NCBI Prokaryotic Genome Annotation Pipeline	4547138	Scaffold	2018-02-21	PGEM01
GCA_022402445.1	Cyanobacteria bacterium				MS008		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4077419	Scaffold	2022-02-27	JAKRSF01
GCA_023380855.1	Cyanobacteria bacterium				FK_Sedi_A_Bin.218		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2149426	Scaffold	2022-05-16	JAMCSH01
GCA_025054735.1	Cyanobacteria bacterium				SKYG9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3997674	Scaffold	2022-09-07	JANWZG01
GCA_001919945.1	Cyanobacteria bacterium 13_1_20CM_4_61_6						NCBI Prokaryotic Genome Annotation Pipeline	4139239	Scaffold	2016-12-23	MNIV01
GCA_001919235.1	Cyanobacteria bacterium 13_1_40CM_2_61_4						NCBI Prokaryotic Genome Annotation Pipeline	8509314	Scaffold	2016-12-23	MNHI01
GCA_009995505.1	Cyanobacteria bacterium CG_2015-02_32_10				CG_2015-02_32_10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3149669	Scaffold	2020-01-29	JAACPM01
GCA_009994695.1	Cyanobacteria bacterium CG_2015-04_32_10				CG_2015-04_32_10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3303173	Scaffold	2020-01-29	JAACQX01
GCA_009993925.1	Cyanobacteria bacterium CG_2015-09_32_10				CG_2015-09_32_10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3305063	Scaffold	2020-01-29	JAACSJ01
GCA_009993545.1	Cyanobacteria bacterium CG_2015-16_32_12				CG_2015-16_32_12		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3346745	Scaffold	2020-01-29	JAACTD01
GCA_009993045.1	Cyanobacteria bacterium CG_2015-22_32_23				CG_2015-22_32_23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3272695	Scaffold	2020-01-29	JAACUG01
GCA_008363215.1	Cyanobacteria bacterium CYA				CYA		NCBI Prokaryotic Genome Annotation Pipeline	3573946	Scaffold	2019-09-09	RHKP01
GCA_020431955.1	Cyanobacteria bacterium HKST-UBA01				HKST-UBA01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5948731	Scaffold	2021-10-12	JAGQHG01
GCA_020431945.1	Cyanobacteria bacterium HKST-UBA02				HKST-UBA02		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6319048	Scaffold	2021-10-12	JAGQHH01
GCA_020431895.1	Cyanobacteria bacterium HKST-UBA03				HKST-UBA03		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2762513	Scaffold	2021-10-12	JAGQHI01
GCA_020431885.1	Cyanobacteria bacterium HKST-UBA05				HKST-UBA05		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1723105	Scaffold	2021-10-12	JAGQHK01
GCA_020431855.1	Cyanobacteria bacterium HKST-UBA06				HKST-UBA06		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2416766	Scaffold	2021-10-12	JAGQHL01
GCA_003021585.1	Cyanobacteria bacterium QH_10_48_56				QH_10_48_56		NCBI Prokaryotic Genome Annotation Pipeline	3515505	Scaffold	2018-03-27	PXPK01
GCA_003021605.1	Cyanobacteria bacterium QH_1_48_107				QH_1_48_107		NCBI Prokaryotic Genome Annotation Pipeline	3592038	Scaffold	2018-03-27	PXPJ01
GCA_003021545.1	Cyanobacteria bacterium QH_2_48_84				QH_2_48_84		NCBI Prokaryotic Genome Annotation Pipeline	3727101	Scaffold	2018-03-27	PXPL01
GCA_003021535.1	Cyanobacteria bacterium QH_3_48_40				QH_3_48_40		NCBI Prokaryotic Genome Annotation Pipeline	3609395	Scaffold	2018-03-27	PXPM01
GCA_003022265.1	Cyanobacteria bacterium QH_6_48_35				QH_6_48_35		NCBI Prokaryotic Genome Annotation Pipeline	3626649	Scaffold	2018-03-27	PXPN01
GCA_003022245.1	Cyanobacteria bacterium QH_7_48_89				QH_7_48_89		NCBI Prokaryotic Genome Annotation Pipeline	3518731	Scaffold	2018-03-27	PXPO01
GCA_003021525.1	Cyanobacteria bacterium QH_8_48_120				QH_8_48_120		NCBI Prokaryotic Genome Annotation Pipeline	3517514	Scaffold	2018-03-27	PXPP01
GCA_003021925.1	Cyanobacteria bacterium QH_9_48_43				QH_9_48_43		NCBI Prokaryotic Genome Annotation Pipeline	3983561	Scaffold	2018-03-27	PXPQ01
GCA_003022225.1	Cyanobacteria bacterium QS_1_48_34				QS_1_48_34		NCBI Prokaryotic Genome Annotation Pipeline	3482447	Scaffold	2018-03-27	PXPR01
GCA_003021885.1	Cyanobacteria bacterium QS_3_48_167				QS_3_48_167		NCBI Prokaryotic Genome Annotation Pipeline	3587793	Scaffold	2018-03-27	PXPS01
GCA_003021505.1	Cyanobacteria bacterium QS_4_48_99				QS_4_48_99		NCBI Prokaryotic Genome Annotation Pipeline	3624283	Scaffold	2018-03-27	PXPT01
GCA_003022205.1	Cyanobacteria bacterium QS_5_48_63				QS_5_48_63		NCBI Prokaryotic Genome Annotation Pipeline	3456096	Scaffold	2018-03-27	PXPU01
GCA_003021485.1	Cyanobacteria bacterium QS_6_48_18				QS_6_48_18		NCBI Prokaryotic Genome Annotation Pipeline	3648828	Scaffold	2018-03-27	PXPV01
GCA_003021855.1	Cyanobacteria bacterium QS_7_48_42				QS_7_48_42		NCBI Prokaryotic Genome Annotation Pipeline	3362150	Scaffold	2018-03-27	PXPW01
GCA_003022145.1	Cyanobacteria bacterium QS_8_48_54				QS_8_48_54		NCBI Prokaryotic Genome Annotation Pipeline	3537684	Scaffold	2018-03-27	PXQG01
GCA_003022125.1	Cyanobacteria bacterium QS_8_64_29				QS_8_64_29		NCBI Prokaryotic Genome Annotation Pipeline	2219720	Scaffold	2018-03-27	PXQH01
GCA_003021465.1	Cyanobacteria bacterium QS_9_48_30				QS_9_48_30		NCBI Prokaryotic Genome Annotation Pipeline	3531454	Scaffold	2018-03-27	PXPX01
GCA_015152555.1	Cyanobacteria bacterium SIG26				SIG26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1862813	Scaffold	2020-10-30	SUTS01
GCA_015152525.1	Cyanobacteria bacterium SIG28				SIG28		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1894393	Scaffold	2020-10-30	SUTU01
GCA_015152465.1	Cyanobacteria bacterium SIG31				SIG31		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1677839	Scaffold	2020-10-30	SUTX01
GCA_003022175.1	Cyanobacteria bacterium SW_10_48_33				SW_10_48_33		NCBI Prokaryotic Genome Annotation Pipeline	3606870	Scaffold	2018-03-27	PXPY01
GCA_003021435.1	Cyanobacteria bacterium SW_11_48_12				SW_11_48_12		NCBI Prokaryotic Genome Annotation Pipeline	3549959	Scaffold	2018-03-27	PXPZ01
GCA_003021425.1	Cyanobacteria bacterium SW_12_48_29				SW_12_48_29		NCBI Prokaryotic Genome Annotation Pipeline	3588247	Scaffold	2018-03-27	PXQA01
GCA_003022095.1	Cyanobacteria bacterium SW_4_48_29				SW_4_48_29		NCBI Prokaryotic Genome Annotation Pipeline	3242298	Scaffold	2018-03-27	PXQI01
GCA_003021405.1	Cyanobacteria bacterium SW_5_48_44				SW_5_48_44		NCBI Prokaryotic Genome Annotation Pipeline	3596515	Scaffold	2018-03-27	PXQB01
GCA_003021845.1	Cyanobacteria bacterium SW_6_48_11				SW_6_48_11		NCBI Prokaryotic Genome Annotation Pipeline	3356380	Scaffold	2018-03-27	PXQC01
GCA_003022165.1	Cyanobacteria bacterium SW_7_48_12				SW_7_48_12		NCBI Prokaryotic Genome Annotation Pipeline	3530138	Scaffold	2018-03-27	PXQD01
GCA_003021825.1	Cyanobacteria bacterium SW_8_48_13				SW_8_48_13		NCBI Prokaryotic Genome Annotation Pipeline	3414957	Scaffold	2018-03-27	PXQE01
GCA_003021905.1	Cyanobacteria bacterium SW_9_44_58				SW_9_44_58		NCBI Prokaryotic Genome Annotation Pipeline	2940196	Scaffold	2018-03-27	PXPI01
GCA_003021375.1	Cyanobacteria bacterium SW_9_47_5				SW_9_47_5		NCBI Prokaryotic Genome Annotation Pipeline	313498	Scaffold	2018-03-27	PXQF01
GCA_018266195.1	Cyanobacteria bacterium SZAS TMP-1				SZAS TMP-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6816674	Scaffold	2021-05-04	JAFEAX01
GCA_018266255.1	Cyanobacteria bacterium SZAS-4				SZAS-4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6335607	Scaffold	2021-05-04	JAFEAT01
GCA_003482765.1	Cyanobacteria bacterium UBA10660				UBA10660		NCBI Prokaryotic Genome Annotation Pipeline	1885434	Scaffold	2018-09-06	DMXX01
GCA_003534575.1	Cyanobacteria bacterium UBA11049				UBA11049		NCBI Prokaryotic Genome Annotation Pipeline	5324837	Scaffold	2018-09-10	DPEI01
GCA_003512385.1	Cyanobacteria bacterium UBA11148				UBA11148		NCBI Prokaryotic Genome Annotation Pipeline	7193878	Scaffold	2018-09-07	DORG01
GCA_003513235.1	Cyanobacteria bacterium UBA11149				UBA11149		NCBI Prokaryotic Genome Annotation Pipeline	6622806	Scaffold	2018-09-07	DORF01
GCA_003511885.1	Cyanobacteria bacterium UBA11153				UBA11153		NCBI Prokaryotic Genome Annotation Pipeline	6645592	Scaffold	2018-09-07	DOIX01
GCA_003511965.1	Cyanobacteria bacterium UBA11159				UBA11159		NCBI Prokaryotic Genome Annotation Pipeline	6609096	Scaffold	2018-09-07	DOJB01
GCA_003504865.1	Cyanobacteria bacterium UBA11162				UBA11162		NCBI Prokaryotic Genome Annotation Pipeline	6028116	Scaffold	2018-09-07	DNZA01
GCA_003506655.1	Cyanobacteria bacterium UBA11166				UBA11166		NCBI Prokaryotic Genome Annotation Pipeline	6281041	Scaffold	2018-09-07	DNYY01
GCA_003501625.1	Cyanobacteria bacterium UBA11366				UBA11366		NCBI Prokaryotic Genome Annotation Pipeline	6685741	Scaffold	2018-09-07	DNOZ01
GCA_003501765.1	Cyanobacteria bacterium UBA11367				UBA11367		NCBI Prokaryotic Genome Annotation Pipeline	7148697	Scaffold	2018-09-07	DNOY01
GCA_003501785.1	Cyanobacteria bacterium UBA11368				UBA11368		NCBI Prokaryotic Genome Annotation Pipeline	8176415	Scaffold	2018-09-07	DNOW01
GCA_003501795.1	Cyanobacteria bacterium UBA11369				UBA11369		NCBI Prokaryotic Genome Annotation Pipeline	8236586	Scaffold	2018-09-07	DNOV01
GCA_003486645.1	Cyanobacteria bacterium UBA11370				UBA11370		NCBI Prokaryotic Genome Annotation Pipeline	7125786	Scaffold	2018-09-06	DNGI01
GCA_003486305.1	Cyanobacteria bacterium UBA11371				UBA11371		NCBI Prokaryotic Genome Annotation Pipeline	8479285	Scaffold	2018-09-06	DNGJ01
GCA_003486675.1	Cyanobacteria bacterium UBA11372				UBA11372		NCBI Prokaryotic Genome Annotation Pipeline	7646934	Scaffold	2018-09-06	DNGG01
