Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCF_002368195.1	Calothrix sp. NIES-2100		NIES-2100				NCBI Prokaryotic Genome Annotation Pipeline	9963103	Chromosome	2017-06-25	
GCA_002368195.1	Calothrix sp. NIES-2100		NIES-2100				Annotation submitted by Toyohashi University of Technology	9963103	Chromosome	2017-06-25	
GCF_002368415.1	Calothrix sp. NIES-4105		NIES-4105				NCBI Prokaryotic Genome Annotation Pipeline	12037678	Chromosome	2017-06-25	
GCA_002368415.1	Calothrix sp. NIES-4105		NIES-4105				Annotation submitted by Toyohashi University of Technology	12037678	Chromosome	2017-06-25	
GCF_000317145.1	Chamaesiphon minutus PCC 6605		PCC 6605				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6761765	Chromosome	2012-12-05	
GCA_000317145.1	Chamaesiphon minutus PCC 6605		PCC 6605				Annotation submitted by JGI	6761765	Chromosome	2012-12-05	
GCF_023558375.1	Chroococcidiopsis sp. CCMEE 29		CCMEE 29				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6389872	Chromosome	2022-05-26	
GCA_023558375.1	Chroococcidiopsis sp. CCMEE 29		CCMEE 29					6389872	Chromosome	2022-05-26	
GCA_003994795.1	Cylindrospermum sp. NIES-4074		NIES-4074				Annotation submitted by Toyohashi University of Technology	7704857	Chromosome	2017-06-25	
GCF_000317535.1	Cylindrospermum stagnale PCC 7417		PCC 7417				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7610589	Chromosome	2012-12-06	
GCA_000317535.1	Cylindrospermum stagnale PCC 7417		PCC 7417				Annotation submitted by JGI	7610589	Chromosome	2012-12-06	
GCF_002368115.1	Dolichospermum compactum NIES-806		NIES-806				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5165988	Chromosome	2017-06-25	
GCA_002368115.1	Dolichospermum compactum NIES-806		NIES-806				Annotation submitted by Toyohashi University of Technology	5165988	Chromosome	2017-06-25	
GCF_018447705.1	Dolichospermum sp. BR01				BR01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5575959	Chromosome	2021-05-21	JACGCP01
GCA_018447705.1	Dolichospermum sp. BR01				BR01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5575959	Chromosome	2021-05-21	JACGCP01
GCA_018295975.1	Dolichospermum sp. DET50				DET50		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6065531	Chromosome	2021-05-06	JABWAF01
GCA_018295985.1	Dolichospermum sp. DET66				DET66		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6113795	Chromosome	2021-05-06	JABWAG01
GCA_018295965.1	Dolichospermum sp. DET67				DET67		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6126501	Chromosome	2021-05-06	JABWAH01
GCF_018447755.1	Dolichospermum sp. OL01				OL01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5274066	Chromosome	2021-05-21	JACGCQ01
GCA_018447755.1	Dolichospermum sp. OL01				OL01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5274066	Chromosome	2021-05-21	JACGCQ01
GCA_024036375.1	Dolichospermum sp. OL03				OL03		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5362622	Chromosome	2022-06-29	JACGCR01
GCF_018447775.1	Dolichospermum sp. WA123				WA123		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4984963	Chromosome	2021-05-21	JACGCS01
GCA_018447775.1	Dolichospermum sp. WA123				WA123		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4984963	Chromosome	2021-05-21	JACGCS01
GCF_002368315.1	Fischerella sp. NIES-4106		NIES-4106				NCBI Prokaryotic Genome Annotation Pipeline	7250844	Chromosome	2017-06-25	
GCA_002368315.1	Fischerella sp. NIES-4106		NIES-4106				Annotation submitted by Toyohashi University of Technology	7250844	Chromosome	2017-06-25	
GCF_000332235.1	Geminocystis herdmanii PCC 6308		PCC 6308				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4263418	Chromosome	2013-01-22	ALVO01
GCA_000332235.1	Geminocystis herdmanii PCC 6308		PCC 6308					4263418	Chromosome	2013-01-22	ALVO01
GCF_001870225.1	Gloeomargarita lithophora Alchichica-D10		D10				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3049282	Chromosome	2016-11-07	
GCA_001870225.1	Gloeomargarita lithophora Alchichica-D10		D10				Annotation submitted by universite paris-sud/paris-saclay	3049282	Chromosome	2016-11-07	
GCF_018128485.1	Leptolyngbya sp. 7M		7M				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6990850	Chromosome	2021-04-22	
GCA_018128485.1	Leptolyngbya sp. 7M		7M				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6990850	Chromosome	2021-04-22	
GCF_000309945.1	Leptolyngbyaceae cyanobacterium JSC-12		JSC-12				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5530491	Chromosome	2012-11-05	AJUB01
GCA_000309945.1	Leptolyngbyaceae cyanobacterium JSC-12		JSC-12				Annotation submitted by JGI	5530491	Chromosome	2012-11-05	AJUB01
GCA_022184905.1	Limnoraphis sp. WC205				WC205		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7364915	Chromosome	2022-02-10	JAGTJT01
GCF_014489865.2	Limnospira fusiformis KN01		KN01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5640992	Chromosome	2022-03-09	
GCA_014489865.2	Limnospira fusiformis KN01		KN01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5640992	Chromosome	2022-03-09	
GCA_014250495.1	Limnospira indica BM01				BM01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6228153	Chromosome	2020-08-19	
GCF_000973065.1	Limnospira indica PCC 8005		PCC 8005				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6228153	Chromosome	2014-02-15	
GCA_000973065.1	Limnospira indica PCC 8005		PCC 8005				Annotation submitted by SCK-CEN, Belgian Nuclear Research Center/Genoscope	6228153	Chromosome	2014-02-15	
GCF_001854205.1	Moorena producens JHB		JHB				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9384763	Chromosome	2016-10-26	
GCA_001854205.1	Moorena producens JHB		JHB				NCBI Prokaryotic Genome Annotation Pipeline	9384763	Chromosome	2016-10-26	
GCF_000340565.2	Nodularia spumigena CCY9414		CCY9414				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5462271	Chromosome	2014-04-03	
GCA_000340565.3	Nodularia spumigena CCY9414		CCY9414				Annotation submitted by University of Freiburg	5462271	Chromosome	2014-04-03	
GCA_003990685.1	Nostoc commune HK-02		NIES-4070				Annotation submitted by Toyohashi University of Technology	8228310	Chromosome	2018-04-04	
GCF_002368035.1	Nostoc linckia NIES-25		NIES-25				NCBI Prokaryotic Genome Annotation Pipeline	8590040	Chromosome	2017-06-25	
GCA_002368035.1	Nostoc linckia NIES-25		NIES-25				Annotation submitted by Toyohashi University of Technology	8590040	Chromosome	2017-06-25	
GCF_001298445.1	Nostoc piscinale CENA21		CENA21				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7094556	Chromosome	2015-09-24	
GCA_001298445.1	Nostoc piscinale CENA21		CENA21				NCBI Prokaryotic Genome Annotation Pipeline	7094556	Chromosome	2015-09-24	
GCF_002368215.1	Nostoc sp. NIES-2111		NIES-2111				NCBI Prokaryotic Genome Annotation Pipeline	7876755	Chromosome	2017-06-25	
GCA_002368215.1	Nostoc sp. NIES-2111		NIES-2111				Annotation submitted by Toyohashi University of Technology	7876755	Chromosome	2017-06-25	
GCF_002368335.1	Nostoc sp. NIES-4103		NIES-4103				NCBI Prokaryotic Genome Annotation Pipeline	8590607	Chromosome	2017-06-25	
GCA_002368335.1	Nostoc sp. NIES-4103		NIES-4103				Annotation submitted by Toyohashi University of Technology	8590607	Chromosome	2017-06-25	
GCF_904830885.1	Planktothrix agardhii		PCC 7811				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5144739	Chromosome	2022-06-30	CAJGUZ01
GCF_904830945.1	Planktothrix agardhii		No.758				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5640632	Chromosome	2022-06-30	
GCA_904830885.1	Planktothrix agardhii		PCC 7811				Annotation submitted by Justus Liebig Universitat	5144739	Chromosome	2022-06-30	CAJGUZ01
GCA_904830945.1	Planktothrix agardhii		No.758				Annotation submitted by Justus Liebig Universitat	5640632	Chromosome	2022-06-30	
GCF_000710505.1	Planktothrix agardhii NIVA-CYA 126/8		NIVA-CYA 126/8				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5045869	Chromosome	2014-06-23	ASAK01
GCA_000710505.1	Planktothrix agardhii NIVA-CYA 126/8		NIVA-CYA 126/8				Annotation submitted by Institute for Limnology	5045869	Chromosome	2014-06-23	ASAK01
GCA_904830785.1	Planktothrix rubescens		No.108				Annotation submitted by Justus Liebig Universitat	5580328	Chromosome	2022-06-30	CAJGUU01
GCA_937024135.1	Planktothrix rubescens		No.82				Annotation submitted by Justus Liebig Universitat	5695619	Chromosome	2022-06-30	
GCF_900009275.2	Planktothrix rubescens NIVA-CYA 18		PCC 7821				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5627634	Chromosome	2020-07-07	CZCZ02
GCA_900009275.2	Planktothrix rubescens NIVA-CYA 18		PCC 7821				Annotation submitted by Genoscope CEA	5627634	Chromosome	2020-07-07	CZCZ02
GCF_904830955.1	Planktothrix tepida		PCC9214				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6791916	Chromosome	2022-06-30	CAJGVA01
GCA_904830955.1	Planktothrix tepida		PCC9214				Annotation submitted by Justus Liebig Universitat	6791916	Chromosome	2022-06-30	CAJGVA01
GCF_000018585.1	Prochlorococcus marinus str. MIT 9211		MIT9211				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1688963	Chromosome	2007-11-13	
GCA_000018585.1	Prochlorococcus marinus str. MIT 9211		MIT9211				Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative	1688963	Chromosome	2007-11-13	
GCF_001989435.1	Prochlorococcus sp. RS01		RS01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1657699	Chromosome	2017-02-07	
GCA_001989435.1	Prochlorococcus sp. RS01		RS01				NCBI Prokaryotic Genome Annotation Pipeline	1657699	Chromosome	2017-02-07	
GCF_001989455.1	Prochlorococcus sp. RS04		RS04				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1656322	Chromosome	2017-02-07	
GCA_001989455.1	Prochlorococcus sp. RS04		RS04				NCBI Prokaryotic Genome Annotation Pipeline	1656322	Chromosome	2017-02-07	
GCF_001989415.1	Prochlorococcus sp. RS50		RS50				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1656133	Chromosome	2017-02-07	
GCA_001989415.1	Prochlorococcus sp. RS50		RS50				NCBI Prokaryotic Genome Annotation Pipeline	1656133	Chromosome	2017-02-07	
GCF_002368235.1	Scytonema sp. HK-05		NIES-2130				NCBI Prokaryotic Genome Annotation Pipeline	9762966	Chromosome	2017-06-25	
GCA_002368235.1	Scytonema sp. HK-05		NIES-2130				Annotation submitted by Toyohashi University of Technology	9762966	Chromosome	2017-06-25	
GCF_002368435.1	Scytonema sp. NIES-4073		NIES-4073				NCBI Prokaryotic Genome Annotation Pipeline	9848021	Chromosome	2017-06-25	
GCA_002368435.1	Scytonema sp. NIES-4073		NIES-4073				Annotation submitted by Toyohashi University of Technology	9848021	Chromosome	2017-06-25	
GCF_002368075.1	Sphaerospermopsis kisseleviana NIES-73		NIES-73				NCBI Prokaryotic Genome Annotation Pipeline	5609991	Chromosome	2017-06-25	
GCA_002368075.1	Sphaerospermopsis kisseleviana NIES-73		NIES-73				Annotation submitted by Toyohashi University of Technology	5609991	Chromosome	2017-06-25	
GCF_019598945.1	Sphaerospermopsis torques-reginae ITEP-024		ITEP-024				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5254542	Chromosome	2021-08-14	
GCA_019598945.1	Sphaerospermopsis torques-reginae ITEP-024		ITEP-024				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5254542	Chromosome	2021-08-14	
GCF_003846445.1	Synechococcus elongatus PCC 11801		PCC 11801				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2691022	Chromosome	2018-11-28	
GCA_003846445.1	Synechococcus elongatus PCC 11801		PCC 11801				NCBI Prokaryotic Genome Annotation Pipeline	2691022	Chromosome	2018-11-28	
GCF_009498715.1	Synechococcus elongatus PCC 11802		PCC 11802				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2760484	Chromosome	2019-11-04	
GCA_009498715.1	Synechococcus elongatus PCC 11802		PCC 11802				NCBI Prokaryotic Genome Annotation Pipeline	2760484	Chromosome	2019-11-04	
GCA_022984265.1	Synechococcus elongatus PCC 6311		PCC 6311				Annotation submitted by University of California, San Diego	2743999	Chromosome	2022-04-14	
GCA_022984345.1	Synechococcus elongatus PCC 7943		PCC 7943				Annotation submitted by University of California, San Diego	2743767	Chromosome	2022-04-14	
GCF_014279995.1	Synechococcus sp. BIOS-E4-1		BIOS-E4-1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3314220	Chromosome	2020-08-24	
GCA_014279995.1	Synechococcus sp. BIOS-E4-1		BIOS-E4-1				Annotation submitted by Station Biologique de Roscoff (CNRS - Sorbonne University)	3314220	Chromosome	2020-08-24	
GCF_014217855.1	Synechococcus sp. HK01-R		HK01-R				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2479254	Chromosome	2020-08-17	
GCA_014217855.1	Synechococcus sp. HK01-R		HK01-R				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2479254	Chromosome	2020-08-17	
GCF_018502385.1	Synechococcus sp. LA31		LA31				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2752151	Chromosome	2021-05-26	
GCA_018502385.1	Synechococcus sp. LA31		LA31				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2752151	Chromosome	2021-05-26	
GCF_005577135.1	Synechococcus sp. PCC 11901		PCC 11901				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3471813	Chromosome	2019-05-22	
GCA_005577135.1	Synechococcus sp. PCC 11901		PCC 11901				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3471813	Chromosome	2019-05-22	
GCF_000332275.1	Synechococcus sp. PCC 7336		PCC 7336				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5066637	Chromosome	2013-01-22	ALWC01
GCA_000332275.1	Synechococcus sp. PCC 7336		PCC 7336					5066637	Chromosome	2013-01-22	ALWC01
GCF_001040845.1	Synechococcus sp. WH 8020		WH 8020				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2661166	Chromosome	2015-06-26	
GCA_001040845.1	Synechococcus sp. WH 8020		WH 8020				NCBI Prokaryotic Genome Annotation Pipeline	2661166	Chromosome	2015-06-26	
GCF_010222815.1	Synechocystis sp. CACIAM 05		CACIAM 05				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3580992	Chromosome	2020-02-06	
GCA_010222815.1	Synechocystis sp. CACIAM 05		CACIAM 05				NCBI Prokaryotic Genome Annotation Pipeline	3580992	Chromosome	2020-02-06	
GCF_000505665.1	Thermosynechococcus sp. NK55a		NK55				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2520064	Chromosome	2013-12-11	
GCA_000505665.1	Thermosynechococcus sp. NK55a		NK55				Annotation submitted by PNNL	2520064	Chromosome	2013-12-11	
GCF_002368295.1	Tolypothrix tenuis PCC 7101		NIES-37				NCBI Prokaryotic Genome Annotation Pipeline	9352233	Chromosome	2017-06-25	
GCA_002368295.1	Tolypothrix tenuis PCC 7101		NIES-37				Annotation submitted by Toyohashi University of Technology	9352233	Chromosome	2017-06-25	
GCF_002368015.1	Trichormus variabilis NIES-23		NIES-23				NCBI Prokaryotic Genome Annotation Pipeline	7472825	Chromosome	2017-06-25	
GCA_002368015.1	Trichormus variabilis NIES-23		NIES-23				Annotation submitted by Toyohashi University of Technology	7472825	Chromosome	2017-06-25	
