Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCF_014698735.1	Anabaena catenula FACHB-362		FACHB-362				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6234385	Contig	2020-09-22	JACJTQ01
GCA_014698735.1	Anabaena catenula FACHB-362		FACHB-362				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6234385	Contig	2020-09-22	JACJTQ01
GCF_014696775.1	Anabaena cylindrica FACHB-170		FACHB-170				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7003498	Contig	2020-09-22	JACJQR01
GCA_014696775.1	Anabaena cylindrica FACHB-170		FACHB-170				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7003498	Contig	2020-09-22	JACJQR01
GCF_014697335.1	Anabaena cylindrica FACHB-243		FACHB-243				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6890297	Contig	2020-09-22	JACJRP01
GCA_014697335.1	Anabaena cylindrica FACHB-243		FACHB-243				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6890297	Contig	2020-09-22	JACJRP01
GCF_014696465.1	Anabaena cylindrica FACHB-318		FACHB-318				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6957411	Contig	2020-09-22	JACJQC01
GCA_014696465.1	Anabaena cylindrica FACHB-318		FACHB-318				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6957411	Contig	2020-09-22	JACJQC01
GCF_014698305.1	Anabaena lutea FACHB-196		FACHB-196				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6059416	Contig	2020-09-22	JACJST01
GCA_014698305.1	Anabaena lutea FACHB-196		FACHB-196				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6059416	Contig	2020-09-22	JACJST01
GCF_014697125.1	Anabaena minutissima FACHB-250		FACHB-250				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7065205	Contig	2020-09-22	JACJRG01
GCA_014697125.1	Anabaena minutissima FACHB-250		FACHB-250				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7065205	Contig	2020-09-22	JACJRG01
GCA_017355725.1	Anabaena sp. 54				54		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5567125	Contig	2021-03-15	JAAVWA01
GCA_001672085.1	Anabaena sp. AL93				WA93		NCBI Prokaryotic Genome Annotation Pipeline	5662506	Contig	2016-06-20	LJOU01
GCF_023701635.1	Anabaena sp. CCAP 1446/1C		PCC 7938				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6932208	Contig	2022-06-10	JAMQOK01
GCA_023701635.1	Anabaena sp. CCAP 1446/1C		PCC 7938				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6932208	Contig	2022-06-10	JAMQOK01
GCA_001672075.1	Anabaena sp. CRKS33				CRKS33		NCBI Prokaryotic Genome Annotation Pipeline	4950014	Contig	2016-06-20	LJOT01
GCA_021297915.1	Anabaena sp. CoA2_C59				CoA2_C59		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4225696	Contig	2021-12-27	JAJTGT01
GCF_014696225.1	Anabaena sp. FACHB-1237		FACHB-1237				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4647682	Contig	2020-09-22	JACJPV01
GCA_014696225.1	Anabaena sp. FACHB-1237		FACHB-1237				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4647682	Contig	2020-09-22	JACJPV01
GCF_014696335.1	Anabaena sp. FACHB-1250		FACHB-1250				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4436573	Contig	2020-09-22	JACJPZ01
GCA_014696335.1	Anabaena sp. FACHB-1250		FACHB-1250				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4436573	Contig	2020-09-22	JACJPZ01
GCF_014696755.1	Anabaena sp. FACHB-1391		FACHB-1391				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4497192	Contig	2020-09-22	JACJQS01
GCA_014696755.1	Anabaena sp. FACHB-1391		FACHB-1391				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4497192	Contig	2020-09-22	JACJQS01
GCF_014696765.1	Anabaena sp. FACHB-709		FACHB-709				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7102143	Contig	2020-09-22	JACJQP01
GCA_014696765.1	Anabaena sp. FACHB-709		FACHB-709				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7102143	Contig	2020-09-22	JACJQP01
GCF_014697485.1	Anabaena sp. FACHB-83		FACHB-83				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8511586	Contig	2020-09-22	JACJRY01
GCA_014697485.1	Anabaena sp. FACHB-83		FACHB-83				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8511586	Contig	2020-09-22	JACJRY01
GCA_001672195.1	Anabaena sp. MDT14b				MDT14b		NCBI Prokaryotic Genome Annotation Pipeline	4959421	Contig	2016-06-20	LJOV01
GCA_001672155.1	Anabaena sp. WA113				WA113		NCBI Prokaryotic Genome Annotation Pipeline	4695440	Contig	2016-06-20	LJOS01
GCF_014696825.1	Anabaena sphaerica FACHB-251		FACHB-251				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6198606	Contig	2020-09-22	JACJQU01
GCA_014696825.1	Anabaena sphaerica FACHB-251		FACHB-251				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6198606	Contig	2020-09-22	JACJQU01
GCF_014697105.1	Anabaena subtropica FACHB-260		FACHB-260				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5809825	Contig	2020-09-22	JACJRF01
GCA_014697105.1	Anabaena subtropica FACHB-260		FACHB-260				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5809825	Contig	2020-09-22	JACJRF01
GCF_014698355.1	Anabaena variabilis FACHB-164		FACHB-164				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5986679	Contig	2020-09-22	JACJSU01
GCA_014698355.1	Anabaena variabilis FACHB-164		FACHB-164				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5986679	Contig	2020-09-22	JACJSU01
GCF_014697155.1	Anabaena variabilis FACHB-171		FACHB-171				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7067220	Contig	2020-09-22	JACJRH01
GCA_014697155.1	Anabaena variabilis FACHB-171		FACHB-171				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7067220	Contig	2020-09-22	JACJRH01
GCF_000789435.1	Aphanizomenon flos-aquae 2012/KM1/D3		2012/KM1/D3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5741771	Contig	2014-12-04	JSDP01
GCA_000789435.1	Aphanizomenon flos-aquae 2012/KM1/D3		2012/KM1/D3				NCBI Prokaryotic Genome Annotation Pipeline	5741771	Contig	2014-12-04	JSDP01
GCA_017355665.1	Aphanizomenon flos-aquae CP01				CP01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4356503	Contig	2021-03-15	JABGCF01
GCF_014696815.1	Aphanizomenon flos-aquae FACHB-1040		FACHB-1040				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5786747	Contig	2020-09-22	JACJQT01
GCA_014696815.1	Aphanizomenon flos-aquae FACHB-1040		FACHB-1040				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5786747	Contig	2020-09-22	JACJQT01
GCF_014697315.1	Aphanizomenon flos-aquae FACHB-1171		FACHB-1171				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4343146	Contig	2020-09-22	JACJRO01
GCA_014697315.1	Aphanizomenon flos-aquae FACHB-1171		FACHB-1171				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4343146	Contig	2020-09-22	JACJRO01
GCF_014698725.1	Aphanizomenon flos-aquae FACHB-1249		FACHB-1249				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4350034	Contig	2020-09-22	JACJTM01
GCA_014698725.1	Aphanizomenon flos-aquae FACHB-1249		FACHB-1249				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4350034	Contig	2020-09-22	JACJTM01
GCF_014698705.1	Aphanizomenon flos-aquae FACHB-1265		FACHB-1265				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4343226	Contig	2020-09-22	JACJTN01
GCA_014698705.1	Aphanizomenon flos-aquae FACHB-1265		FACHB-1265				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4343226	Contig	2020-09-22	JACJTN01
GCF_014698755.1	Aphanizomenon flos-aquae FACHB-1287		FACHB-1287				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4347270	Contig	2020-09-22	JACJTO01
GCA_014698755.1	Aphanizomenon flos-aquae FACHB-1287		FACHB-1287				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4347270	Contig	2020-09-22	JACJTO01
GCF_014698295.1	Aphanizomenon flos-aquae FACHB-1290		FACHB-1290				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4314391	Contig	2020-09-22	JACJSR01
GCA_014698295.1	Aphanizomenon flos-aquae FACHB-1290		FACHB-1290				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4314391	Contig	2020-09-22	JACJSR01
GCF_014698695.1	Aphanizomenon flos-aquae FACHB-1416		FACHB-1416				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4287223	Contig	2020-09-22	JACJTP01
GCA_014698695.1	Aphanizomenon flos-aquae FACHB-1416		FACHB-1416				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4287223	Contig	2020-09-22	JACJTP01
GCA_001672165.1	Aphanizomenon flos-aquae LD13				MDT13		NCBI Prokaryotic Genome Annotation Pipeline	4439448	Contig	2016-06-20	LJOY01
GCA_001672095.1	Aphanizomenon flos-aquae MDT14a				MDT14a		NCBI Prokaryotic Genome Annotation Pipeline	4632587	Contig	2016-06-20	LJOX01
GCA_001593825.2	Aphanizomenon flos-aquae UKL13-PB				UKL13-PB		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4484012	Contig	2021-03-15	LTEC02
GCA_001672105.1	Aphanizomenon flos-aquae WA102				WA102		NCBI Prokaryotic Genome Annotation Pipeline	5946039	Contig	2016-06-20	LJOW01
GCF_014698245.1	Aphanizomenon sp. FACHB-1399		FACHB-1399				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4348078	Contig	2020-09-22	JACJSQ01
GCA_014698245.1	Aphanizomenon sp. FACHB-1399		FACHB-1399				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4348078	Contig	2020-09-22	JACJSQ01
GCF_014698265.1	Aphanizomenon sp. FACHB-1401		FACHB-1401				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4349063	Contig	2020-09-22	JACJSS01
GCA_014698265.1	Aphanizomenon sp. FACHB-1401		FACHB-1401				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4349063	Contig	2020-09-22	JACJSS01
GCA_019359725.1	Aphanocapsa lilacina HA4352-LM1				HA4352-LM1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4198540	Contig	2021-07-27	JAHHGR01
GCA_019359715.1	Aphanocapsa sp. GSE-SYN-MK-11-07L				GSE-SYN-MK-11-07L		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5105314	Contig	2021-07-27	JAHHGS01
GCF_003007785.1	Aphanothece hegewaldii CCALA 016		CCALA 016				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5442671	Contig	2018-03-18	PXOH01
GCA_003007785.1	Aphanothece hegewaldii CCALA 016		CCALA 016				NCBI Prokaryotic Genome Annotation Pipeline	5442671	Contig	2018-03-18	PXOH01
GCF_003864295.1	Aphanothece sacrum FPU1		FPU1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4493232	Contig	2018-11-30	BDQK01
GCA_003864295.1	Aphanothece sacrum FPU1		FPU1				Annotation submitted by NODAI Genome Research Center, Tokyo University of Agriculture	4493232	Contig	2018-11-30	BDQK01
GCF_003864315.1	Aphanothece sacrum FPU3		FPU3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4486313	Contig	2018-11-30	BDQL01
GCA_003864315.1	Aphanothece sacrum FPU3		FPU3				Annotation submitted by NODAI Genome Research Center, Tokyo University of Agriculture	4486313	Contig	2018-11-30	BDQL01
GCA_019359745.1	Aphanothece saxicola GSE-SYN-MK-01-06B				GSE-SYN-MK-01-06B		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3247837	Contig	2021-07-27	JAHHGT01
GCA_019359765.1	Aphanothece sp. CMT-3BRIN-NPC111				CMT-3BRIN-NPC111		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5125873	Contig	2021-07-27	JAHHGU01
GCA_007732545.1	Arthrospira sp. PLM2.Bin9				PLM2.Bin9		NCBI Prokaryotic Genome Annotation Pipeline	4788243	Contig	2019-07-31	REEX01
GCA_018224285.1	Arthrospira sp. SH-MAG29				SH-MAG29		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4854096	Contig	2021-05-02	JAGTUX01
GCF_014698045.1	Aulosira sp. FACHB-615		FACHB-615				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8338463	Contig	2020-09-22	JACJSE01
GCA_014698045.1	Aulosira sp. FACHB-615		FACHB-615				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8338463	Contig	2020-09-22	JACJSE01
GCA_019359695.1	Brasilonema angustatum HA4187-MV1				HA4187-MV1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8509522	Contig	2021-07-27	JAHHGV01
GCA_019359625.1	Brasilonema octagenarum HA4186-MV1				HA4186-MV1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8066605	Contig	2021-07-27	JAHHGW01
GCF_014696435.1	Calothrix anomala FACHB-343		FACHB-343				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9242718	Contig	2020-09-22	JACJQG01
GCA_014696435.1	Calothrix anomala FACHB-343		FACHB-343				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9242718	Contig	2020-09-22	JACJQG01
GCF_014696315.1	Calothrix membranacea FACHB-236		FACHB-236				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8811626	Contig	2020-09-22	JACJPX01
GCA_014696315.1	Calothrix membranacea FACHB-236		FACHB-236				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8811626	Contig	2020-09-22	JACJPX01
GCF_014696555.1	Calothrix parietina FACHB-288		FACHB-288				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9242072	Contig	2020-09-22	JACJQH01
GCA_014696555.1	Calothrix parietina FACHB-288		FACHB-288				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9242072	Contig	2020-09-22	JACJQH01
GCF_900185595.1	Calothrix rhizosoleniae SC01				1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5973003	Contig	2017-06-15	FYBH01
GCA_900185595.1	Calothrix rhizosoleniae SC01				1			5973003	Contig	2017-06-15	FYBH01
GCA_015272395.1	Calothrix sp. C42_A2020_038				C42_A2020_038		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6532080	Contig	2020-11-06	JACYLQ01
GCA_012034595.1	Calothrix sp. CSU_2_0				CSU_2_0		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7437768	Contig	2020-04-06	JAAUPE01
GCF_014696565.1	Calothrix sp. FACHB-1219		FACHB-1219				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9598823	Contig	2020-09-22	JACJQK01
GCA_014696565.1	Calothrix sp. FACHB-1219		FACHB-1219				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9598823	Contig	2020-09-22	JACJQK01
GCF_014697055.1	Calothrix sp. FACHB-156		FACHB-156				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9518314	Contig	2020-09-22	JACJRD01
GCA_014697055.1	Calothrix sp. FACHB-156		FACHB-156				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9518314	Contig	2020-09-22	JACJRD01
GCF_014696495.1	Calothrix sp. FACHB-168		FACHB-168				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9427962	Contig	2020-09-22	JACJQF01
GCA_014696495.1	Calothrix sp. FACHB-168		FACHB-168				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9427962	Contig	2020-09-22	JACJQF01
GCA_019359675.1	Calothrix sp. FI2-JRJ7				FI2-JRJ7		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8663394	Contig	2021-07-27	JAHHGX01
GCA_012031375.1	Calothrix sp. SM1_5_4				SM1_5_4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2282012	Contig	2020-04-05	JAAUTQ01
GCA_012031285.1	Calothrix sp. SM1_7_51				SM1_7_51		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3619528	Contig	2020-04-05	JAAUTW01
GCF_000737945.1	Candidatus Atelocyanobacterium thalassa isolate SIO64986							1485499	Contig	2014-08-05	JPSP01
GCA_000737945.1	Candidatus Atelocyanobacterium thalassa isolate SIO64986						Annotation submitted by University of California, Santa Cruz	1485499	Contig	2014-08-05	JPSP01
GCF_900047545.1	Candidatus Synechococcus spongiarum				1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1409475	Contig	2016-10-18	FITM01
GCA_900047545.1	Candidatus Synechococcus spongiarum				1		Annotation submitted by GeneWiz	1409475	Contig	2016-10-18	FITM01
GCF_000586015.1	Candidatus Synechococcus spongiarum SH4		SH4				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1658709	Contig	2014-03-07	JENA01
GCA_000586015.1	Candidatus Synechococcus spongiarum SH4		SH4					1658709	Contig	2014-03-07	JENA01
GCF_001007665.1	Candidatus Synechococcus spongiarum SP3				SP3			2129964	Contig	2015-05-14	JXQG01
GCA_001007665.1	Candidatus Synechococcus spongiarum SP3				SP3		NCBI Prokaryotic Genome Annotation Pipeline	2129964	Contig	2015-05-14	JXQG01
GCF_003003845.1	Chamaesiphon polymorphus CCALA 037		CCALA 037				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6089525	Contig	2018-03-15	PVWO01
GCA_003003845.1	Chamaesiphon polymorphus CCALA 037		CCALA 037				NCBI Prokaryotic Genome Annotation Pipeline	6089525	Contig	2018-03-15	PVWO01
GCA_012034725.1	Chamaesiphon sp. CSU_1_12				CSU_1_12		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1471129	Contig	2020-04-06	JAAUOX01
GCA_016903695.1	Chlorogloea purpurea SAG 13.99				JP212		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3156590	Contig	2021-02-17	JADQBB01
GCA_015272425.1	Chlorogloeopsis fritschii C42_A2020_084				C42_A2020_084		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7052188	Contig	2020-11-06	JACYLT01
GCF_000317285.1	Chlorogloeopsis fritschii PCC 6912		PCC 6912				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7751745	Contig	2012-12-05	AJLN01
GCA_000317285.1	Chlorogloeopsis fritschii PCC 6912		PCC 6912					7751745	Contig	2012-12-05	AJLN01
GCF_000317265.1	Chlorogloeopsis fritschii PCC 9212		PCC 9212				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7649851	Contig	2012-12-05	AJLM01
GCA_000317265.1	Chlorogloeopsis fritschii PCC 9212		PCC 9212					7649851	Contig	2012-12-05	AJLM01
GCF_002749975.1	Chroococcales cyanobacterium IPPAS B-1203		IPPAS B-1203				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5914154	Contig	2017-11-04	PEIG01
GCA_002749975.1	Chroococcales cyanobacterium IPPAS B-1203		IPPAS B-1203				NCBI Prokaryotic Genome Annotation Pipeline	5914154	Contig	2017-11-04	PEIG01
GCA_003818365.1	Chroococcales cyanobacterium metabat2.561				metabat2.561		NCBI Prokaryotic Genome Annotation Pipeline	2778973	Contig	2018-11-25	RPQW01
GCA_019244235.1	Chroococcidiopsidaceae cyanobacterium CP_BM_ER_R8_30				CP_BM_ER_R8_30		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5539083	Contig	2021-07-15	JAFASY01
GCA_019242465.1	Chroococcidiopsidaceae cyanobacterium CP_BM_RX_35				CP_BM_RX_35		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5446740	Contig	2021-07-15	JAFAVL01
GCA_015206905.1	Chroococcidiopsidales cyanobacterium LEGE 13417		LEGE 13417				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6658063	Contig	2020-11-02	JADEXX01
GCF_003015105.1	Chroococcidiopsis sp. CCALA 051		CCALA 051				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6674288	Contig	2018-03-25	PYCI01
GCA_003015105.1	Chroococcidiopsis sp. CCALA 051		CCALA 051				NCBI Prokaryotic Genome Annotation Pipeline	6674288	Contig	2018-03-25	PYCI01
GCF_014696895.1	Chroococcidiopsis sp. FACHB-1243		FACHB-1243				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6915784	Contig	2020-09-22	JACJQX01
GCA_014696895.1	Chroococcidiopsis sp. FACHB-1243		FACHB-1243				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6915784	Contig	2020-09-22	JACJQX01
GCF_002939305.1	Chroococcidiopsis sp. TS-821		TS-821				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5234993	Contig	2018-02-23	MVDI01
GCA_002939305.1	Chroococcidiopsis sp. TS-821		TS-821				NCBI Prokaryotic Genome Annotation Pipeline	5234993	Contig	2018-02-23	MVDI01
GCA_019359635.1	Chroococcus sp. CMT-3BRIN-NPC107				CMT-3BRIN-NPC107		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3443979	Contig	2021-07-27	JAHHGY01
GCF_017312365.1	Chroococcus sp. FPU101		FPU101				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5294833	Contig	2021-03-01	BLJI01
GCA_017312365.1	Chroococcus sp. FPU101		FPU101				Annotation submitted by Research Institute of Green Science and Technology, Shizuoka University	5294833	Contig	2021-03-01	BLJI01
GCF_001904655.1	Chroogloeocystis siderophila 5.2 s.c.1		5.2 s.c.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5009995	Contig	2016-12-14	MRCC01
GCA_001904655.1	Chroogloeocystis siderophila 5.2 s.c.1		5.2 s.c.1				NCBI Prokaryotic Genome Annotation Pipeline	5009995	Contig	2016-12-14	MRCC01
GCA_001458455.1	Chrysosporum ovalisporum		UAM-MAO				Annotation submitted by ERA7	7467982	Contig	2015-11-09	CDHJ01
GCA_012033105.1	Coleofasciculaceae cyanobacterium RL_1_1				RL_1_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4202257	Contig	2020-04-05	JAAUPN01
GCA_012031635.1	Coleofasciculaceae cyanobacterium SM2_1_6				SM2_1_6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4366233	Contig	2020-04-05	JAAUUE01
GCA_012030755.1	Coleofasciculaceae cyanobacterium SM2_3_26				SM2_3_26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1605792	Contig	2020-04-05	JAAUUN01
GCA_014534505.1	Coleofasciculus sp. C3-bin4				C3-bin4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3369409	Contig	2020-09-14	JACVRI01
GCA_014534335.1	Coleofasciculus sp. Co-bin14				Co-bin14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4434975	Contig	2020-09-14	JACVRQ01
GCF_014698845.1	Coleofasciculus sp. FACHB-1120		FACHB-1120				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6198536	Contig	2020-09-22	JACJTV01
GCA_014698845.1	Coleofasciculus sp. FACHB-1120		FACHB-1120				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6198536	Contig	2020-09-22	JACJTV01
